Date,Description,Link,EarningRelated
05/09/2023 06:09:00,KLA Corporation Announces Increase in Quarterly Dividend Level to $1.45 per share and $2 billion Increase in Total Share Repurchase Authorization,,1
15/08/2023 16:05:00,KLA Announces Upcoming Investor Webcasts,,0
08/08/2023 12:00:00,KLA Foundation Announces Inaugural $1 Million in Education Equity Fund Grants,,0
03/08/2023 16:05:00,KLA Declares Regular Cash Dividend,,1
27/07/2023 16:05:00,KLA Corporation Reports Fiscal 2023 Fourth Quarter and Full Year Results,,1
24/07/2023 16:05:00,KLA Names Michael R. McMullen to Board of Directors,,0
28/06/2023 16:05:00,KLA Announces Fourth Quarter Fiscal Year 2023 Earnings Date,,1
16/05/2023 07:00:00,KLA and imec announce MOU to advance the electrification of the automotive industry,,0
11/05/2023 16:05:00,KLA Announces Upcoming Investor Webcasts,,0
04/05/2023 18:00:00,KLA Declares Regular Cash Dividend,,1
26/04/2023 16:05:00,KLA Corporation Reports Fiscal 2023 Third Quarter Results,,1
03/04/2023 16:05:00,KLA Announces Third Quarter Fiscal Year 2023 Earnings Date,,1
21/02/2023 16:05:00,KLA Announces Upcoming Investor Webcast,,0
02/02/2023 18:00:00,KLA Declares Regular Cash Dividend,,1
26/01/2023 16:05:00,KLA Corporation Reports Fiscal 2023 Second Quarter Results,,1
05/01/2023 16:05:00,KLA Announces Second Quarter Fiscal Year 2023 Earnings Date,,1
15/12/2022 13:11:00,"KLA Foundation Invests More Than $1 Million in Bay Area and Michigan Nonprofits to Advance Social Equity, Access, and Education",,0
06/12/2022 16:05:00,KLA Launches Revolutionary X-Ray Metrology System,,0
21/11/2022 16:05:00,KLA Announces Upcoming Investor Webcasts,,0
03/11/2022 16:05:00,KLA Declares Regular Cash Dividend,,1
02/11/2022 17:05:00,KLA Corporation Announces Robert Calderoni as New Chair of the Board,,0
26/10/2022 16:05:00,KLA Corporation Reports Fiscal 2023 First Quarter Results,,1
24/10/2022 16:19:00,KLA Launches New Double-Sided Direct Imaging Platform Supporting Continued Innovation for PCBs and IC Substrates,,0
10/10/2022 16:05:00,KLA Announces First Quarter Fiscal Year 2023 Earnings Date,,1
29/09/2022 16:05:00,"KLA Announces Plans to Build a New R&D and Manufacturing Facility in Newport, Wales",,0
25/08/2022 07:00:00,KLA's 2021 Global Impact Report Highlights New Climate Goals,,0
23/08/2022 16:05:00,KLA Announces Upcoming Investor Webcasts,,0
04/08/2022 16:05:00,KLA Declares Regular Cash Dividend,,1
28/07/2022 16:05:00,KLA CORPORATION REPORTS FISCAL 2022 FOURTH QUARTER AND FULL YEAR RESULTS,,1
06/07/2022 16:05:00,KLA Corporation Announces Pricing of Tender Offer,,0
06/07/2022 08:30:00,KLA Corporation Announces Early Results of Previously Announced Cash Tender Offer,,0
05/07/2022 16:05:00,KLA Announces Fourth Quarter Fiscal Year 2022 Earnings Date,,1
24/06/2022 09:25:00,KLA Corporation Announces $3.0 Billion Accelerated Share Repurchase Agreements,,0
21/06/2022 23:56:00,KLA Corporation Prices Senior Notes Offering,,0
21/06/2022 09:18:00,KLA Corporation Announces Cash Tender Offer for 4.650% Senior Notes due 2024,,0
16/06/2022 06:00:00,KLA Corporation Hosts Investor Day; Announces $6 Billion Share Repurchase Program and 24% Increase to Quarterly Dividend; Affirms June 2022 Guidance,,1
08/06/2022 16:05:00,KLA Announces $1.5 Billion Sustainability-Linked Revolving Credit Facility,,0
05/05/2022 16:05:00,KLA Declares Regular Cash Dividend,,1
28/04/2022 16:05:00,KLA Corporation Reports Fiscal 2022 Third Quarter Results,,1
07/04/2022 05:00:00,KLA Moves PCB Design-for-Manufacturability Analysis to the Cloud,,0
05/04/2022 16:05:00,KLA Announces Third Quarter Fiscal Year 2022 Earnings Date,,1
29/03/2022 16:05:00,KLA ANNOUNCES JUNE 2022 INVESTOR DAY,,0
01/03/2022 16:05:00,KLA Announces Upcoming Investor Webcasts,,0
02/02/2022 16:05:00,KLA Declares Regular Cash Dividend,,1
27/01/2022 16:05:00,KLA Corporation Reports Fiscal 2022 Second Quarter Results,,1
06/01/2022 16:05:00,KLA Announces Second Quarter Fiscal Year 2022 Earnings Date,,1
16/12/2021 08:00:00,KLA Announces Goal to Use 100% Renewable Electricity Across Global Operations by 2030,,0
30/11/2021 16:05:00,KLA Announces Upcoming Investor Webcast,,0
22/11/2021 16:05:00,KLA Announces Upcoming Investor Webcasts,,0
05/11/2021 12:20:00,"KLA Announces Grand Opening of $200 Million Second Headquarters in Ann Arbor, Michigan",,0
04/11/2021 16:05:00,KLA Declares Regular Cash Dividend,,1
01/11/2021 22:30:00,KLA Corporation Opens New Artificial Intelligence-Advanced Computing Lab at Indian Institute of Technology Madras Research Park,,0
27/10/2021 16:05:00,KLA Corporation Reports Fiscal 2022 First Quarter Results,,1
26/10/2021 10:00:00,"Two-thirds of Engineers Entered the Career to Change People's Lives, According to New KLA Research",,0
06/10/2021 16:16:00,KLA Announces First Quarter Fiscal Year 2022 Earnings Date,,1
31/08/2021 16:05:00,KLA Announces Upcoming Investor Webcasts,,0
05/08/2021 16:05:00,KLA Declares Regular Cash Dividend,,1
29/07/2021 16:05:00,"KLA Corporation Reports Fiscal 2021 Fourth Quarter And Full Year Results, Raises Dividend Level By 17% And Announces Additional $2 Billion Share Repurchase Authorization",,1
21/07/2021 06:00:00,TTM Technologies Speeds Up PCB Solder Mask Processing With Orbotech Neos™ 800 Additive Printing Solution,,0
01/07/2021 16:05:00,KLA Announces Fourth Quarter Fiscal Year 2021 Earnings Date,,1
22/06/2021 16:05:00,KLA Launches New Portfolio of Automotive Products to Improve Chip Yield and Reliability,,0
02/06/2021 08:00:00,KLA Named to Fortune 500,,0
20/05/2021 16:05:00,KLA Announces Upcoming Investor Webcasts,,0
06/05/2021 16:05:00,KLA Declares Regular Cash Dividend,,1
06/05/2021 14:02:00,"KLA Foundation Pledges $550,000 to COVID-19 Relief in India",,0
29/04/2021 16:05:00,KLA Corporation Reports Fiscal 2021 Third Quarter Results,,1
07/04/2021 16:05:00,KLA Announces Third Quarter Fiscal Year 2021 Earnings Date,,1
06/04/2021 16:05:00,KLA Announces First Recipients of Social Equity Funding,,0
15/03/2021 04:00:00,Frontline's new PCB process planning solution accelerates time to market and dramatically increases productivity for manufacturers,,0
09/02/2021 16:23:00,KLA Declares Regular Cash Dividend,,1
03/02/2021 16:05:00,KLA Corporation Reports Fiscal 2021 Second Quarter Results,,1
12/01/2021 17:00:00,KLA Announces Second Quarter Fiscal Year 2021 Earnings Date,,1
07/01/2021 16:45:00,KLA Announces Upcoming Investor Webcasts,,0
10/12/2020 16:05:00,KLA Introduces Two New Systems that Take On Semiconductor Manufacturing's Toughest Problems,,0
01/12/2020 03:05:00,New Orbotech Flex PCB Manufacturing Solutions Enable Future Generations of Advanced Electronics,,0
12/11/2020 16:05:00,KLA Announces Upcoming Investor Webcasts,,0
05/11/2020 16:05:00,KLA Declares Regular Cash Dividend,,1
28/10/2020 16:05:00,KLA Corporation Reports Fiscal 2021 First Quarter Results,,1
07/10/2020 16:05:00,KLA Announces First Quarter Fiscal Year 2021 Earnings Date,,1
21/09/2020 16:05:00,KLA Announces Enhanced Portfolio of Systems for Advanced Packaging,,0
21/09/2020 12:00:00,"KLA Appoints MaryBeth Wilkinson as Executive Vice President, Chief Legal Officer and Corporate Secretary",,0
07/08/2020 16:05:00,KLA Announces Upcoming Investor Webcasts,,0
06/08/2020 16:05:00,KLA Declares Regular Cash Dividend,,1
03/08/2020 16:05:00,KLA Corporation Reports Fiscal 2020 Fourth Quarter Results And Raises Dividend Level,,1
20/07/2020 11:00:00,KLA Introduces Breakthrough Electron-Beam Defect Inspection System,,0
08/07/2020 17:00:00,KLA Announces Plans To Review Fourth Quarter Fiscal Year 2020 Results,,1
15/06/2020 08:01:00,KLA Foundation Commits $1 Million to Combat Racial Inequality,,0
29/05/2020 19:20:00,KLA Announces Upcoming Investor Presentation,,0
26/05/2020 09:01:00,"KLA Launches Electronics, Packaging and Components Group",,0
11/05/2020 16:22:00,KLA Announces Upcoming Investor Webcasts,,0
07/05/2020 16:05:00,KLA Declares Regular Cash Dividend,,1
05/05/2020 16:05:00,KLA Corporation Reports Fiscal 2020 Third Quarter Results,,1
15/04/2020 16:05:00,KLA Announces Webcast To Review Third Quarter Fiscal Year 2020 Results,,1
23/03/2020 14:00:00,KLA Foundation Creates $2 Million COVID-19 Global Relief Fund,,0
24/02/2020 16:05:00,KLA Introduces New IC Metrology Systems,,0
19/02/2020 19:45:00,KLA Prices Senior Notes Offering,,0
19/02/2020 09:15:00,KLA Announces Offering Of Senior Notes,,0
13/02/2020 16:05:00,KLA Names Marie Myers To Board Of Directors,,0
11/02/2020 16:05:00,KLA Declares Regular Cash Dividend,,1
06/02/2020 16:05:00,KLA Announces Upcoming Investor Presentation,,0
