Date,% Higher,% Same,% Lower,Diffusion Index,% Who Do Not Perform or Do Not Measure
2023-05-01,22.7,72.5,4.8,59.0
2023-04-01,25.3,71.1,3.6,60.9
2023-03-01,10.3,66.7,23.0,43.7
2023-02-01,27.9,67.5,4.6,61.7
2023-01-01,25.5,66.9,7.6,59.0
2022-12-01,15.0,65.3,19.7,47.7
2022-11-01,9.1,58.6,32.3,38.4
2022-10-01,15.1,65.1,19.8,47.7
2022-09-01,35.0,60.2,4.8,65.1
2022-08-01,26.5,70.9,2.6,61.9
2022-07-01,24.3,70.4,5.3,59.5
2022-06-01,19.9,75.3,4.8,57.5
2022-05-01,27.1,67.6,5.3,60.9
2022-04-01,22.4,71.4,6.2,58.1
2022-03-01,29.1,63.8,7.1,61.0,
2022-02-01,10.2,85.5,4.3,53.0,
2022-01-01,7.3,77.2,15.5,45.9,
2021-12-01,33.5,56.1,10.4,61.5,
2021-11-01,20.9,73.9,5.2,57.9,
2021-10-01,27.8,69.2,3.0,62.3,
2021-09-01,24.2,70.7,5.1,59.5,
2021-08-01,22.8,75.6,1.6,60.6,
2021-07-01,33.3,65.0,1.7,65.8,
2021-06-01,13.7,73.9,12.4,50.7,
2021-05-01,25.0,70.0,5.0,60.0,
2021-04-01,19.5,78.3,2.2,58.6,
2021-03-01,17.9,75.0,7.0,55.5,
2021-02-01,21.9,71.4,6.8,57.6,
2021-01-01,13.2,67.7,19.2,47.0,
2020-12-01,20.2,74.2,5.6,57.3,
2020-11-01,15.0,70.8,14.2,50.4,
2020-10-01,19.9,67.6,12.5,53.7,
2020-09-01,18.1,69.0,12.9,52.6,
2020-08-01,23.1,65.3,11.6,55.8,
2020-07-01,20.5,57.6,21.9,49.3,
2020-06-01,35.8,46.2,18.0,58.9,
2020-05-01,13.5,56.0,30.6,41.5,
2020-04-01,18.1,36.4,45.5,36.3,
2020-03-01,7.8,76.3,15.9,45.9,
2020-02-01,21.1,69.0,9.9,55.6,
2020-01-01,8.4,83.4,8.2,50.1,
2019-12-01,10.0,82.0,8.0,51.0,
2019-11-01,13.0,78.0,9.0,52.0,
2019-10-01,8.0,84.0,8.0,50.0,
2019-09-01,11.0,82.0,7.0,52.0,
2019-08-01,11.0,79.0,10.0,50.5,
2019-07-01,13.0,81.0,6.0,53.5,
2019-06-01,20.0,71.0,9.0,55.5,
2019-05-01,13.0,85.0,2.0,55.5,
2019-04-01,20.0,74.0,6.0,57.0,
2019-03-01,18.0,69.0,13.0,52.5,
2019-02-01,17.0,76.0,7.0,55.0,
2019-01-01,15.0,71.0,14.0,50.5,
2018-12-01,22.0,75.0,3.0,59.5,
2018-11-01,19.0,77.0,4.0,57.5,
2018-10-01,29.0,64.0,7.0,61.0,
2018-09-01,25.0,72.0,3.0,61.0,
2018-08-01,25.0,71.0,4.0,60.5,
2018-07-01,23.0,70.0,7.0,58.0,
2018-06-01,24.0,73.0,3.0,60.5,
2018-05-01,18.0,79.0,3.0,57.5,
2018-04-01,25.0,73.0,2.0,61.5,
2018-03-01,19.0,78.0,3.0,58.0,
2018-02-01,23.0,73.0,4.0,59.5,
2018-01-01,22.0,72.0,6.0,58.0,
2017-12-01,18.0,77.0,5.0,56.5,
2017-11-01,20.0,74.0,6.0,57.0,
2017-10-01,28.0,64.0,8.0,60.0,
2017-09-01,18.0,76.0,6.0,56.0,
2017-08-01,16.0,78.0,6.0,55.0,
2017-07-01,15.0,76.0,9.0,53.0,
2017-06-01,13.0,84.0,3.0,55.0,
2017-05-01,14.0,81.0,5.0,54.5,
2017-04-01,31.0,69.0,0.0,65.5,
2017-03-01,27.0,71.0,2.0,62.5,
2017-02-01,22.0,70.0,8.0,57.0,
2017-01-01,6.0,84.0,10.0,48.0,
2016-12-01,17.0,72.0,11.0,53.0,
2016-11-01,19.0,76.0,5.0,57.0,
2016-10-01,17.0,77.0,6.0,55.5,
2016-09-01,19.0,75.0,6.0,56.5,
2016-08-01,8.0,77.0,15.0,46.5,
2016-07-01,21.0,69.0,10.0,55.5,
2016-06-01,11.0,84.0,5.0,53.0,
2016-05-01,8.0,82.0,10.0,49.0,
2016-04-01,16.0,81.0,3.0,56.5,
2016-03-01,21.0,75.0,4.0,58.5,
2016-02-01,19.0,69.0,12.0,53.5,
2016-01-01,11.0,69.0,20.0,45.5,
2015-11-01,11.0,77.0,12.0,49.5,
2015-10-01,16.0,77.0,7.0,54.5,
2015-09-01,18.0,69.0,13.0,52.5,
2015-08-01,9.0,86.0,5.0,52.0,
2015-07-01,23.0,67.0,10.0,56.5,
2015-06-01,10.0,84.0,6.0,52.0,
2015-05-01,19.0,72.0,9.0,55.0,
2015-04-01,13.0,71.0,16.0,48.5,
2015-03-01,25.0,68.0,7.0,59.0,
2015-02-01,16.0,74.0,10.0,53.0,
2015-01-01,16.0,73.0,11.0,52.5,
2014-12-01,14.0,79.0,7.0,53.5,
2014-11-01,23.0,68.0,9.0,57.0,
2014-10-01,12.0,83.0,5.0,53.5,
2014-09-01,20.0,75.0,5.0,57.5,
2014-08-01,13.0,79.0,8.0,52.5,
2014-07-01,11.0,84.0,5.0,53.0,
2014-06-01,17.0,76.0,7.0,55.0,
2014-05-01,12.0,82.0,6.0,53.0,
2014-04-01,23.0,68.0,9.0,57.0,66.0
2014-03-01,11.0,77.0,12.0,49.5,68.0
